country,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,total,missing
Aruba,Caribbean,North America,country,12.51756625,-69.98186415,617,1987,61838,9.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Afghanistan,South Asia,Asia,country,33.7680065,66.2385139,98920,2018,37171922,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Angola,Sub-Saharan Africa,Africa,country,-11.8775768,17.5691241,79730,2018,30809787,2.59,0,0.29,0,0,0,0.71,0,0,0,0,0,1,0
Albania,"Eastern Europe, Balkans, Caucasus",Europe,country,41.000028,19.9999619,10080,2018,2866376,3.52,0,0,0,0,0,1,0,0,0,0,0,1,0
Andorra,Western Europe,Europe,country,42.5407167,1.5732033,540,1998,64140,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
United Arab Emirates,Middle East,Asia,country,24.0002488,53.9994829,263240,2018,9630966,27.33,0,0.01,0.98,0,0,0,0,0,0,0,0,1,0
Argentina,South America,South America,country,-34.9964963,-64.9672817,365650,2018,44494502,8.22,0.02,0.08,0.57,0,0.04,0.27,0,0,0,0.01,0,1,0
Armenia,"Eastern Europe, Balkans, Caucasus",Europe,country,40.7696272,44.6736646,9360,2018,2951741,3.17,0,0,0.37,0,0.34,0.29,0,0,0,0,0,1,0
American Samoa,Oceania,Oceania,country,-14.2930755,-170.6847001,21,1989,45894,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Antigua and Barbuda,Caribbean,North America,country,17.2234721,-61.9554608,970,2008,85394,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Australia,Oceania,Oceania,country,-24.7761086,134.755,615380,2018,24982688,24.63,0.63,0.02,0.2,0,0,0.06,0,0.03,0.05,0.01,0,1,0
Austria,Central Europe and Baltics,Europe,country,47.59397,14.12456,74980,2018,8840521,8.48,0.06,0.01,0.16,0,0,0.57,0,0.02,0.1,0.08,0,1,0
Azerbaijan,"Eastern Europe, Balkans, Caucasus",Europe,country,40.3936294,47.7872508,80260,2018,9939771,8.07,0,0.05,0.86,0,0,0.07,0,0,0,0.01,0,1,0
Burundi,Sub-Saharan Africa,Africa,country,-3.426449,29.9324519,5520,2018,11175379,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Belgium,Western Europe,Europe,country,50.6402809,4.6667145,108750,2018,11427054,9.52,0.03,0,0.27,0,0.49,0,0,0.04,0.08,0.08,0.01,1,0
Benin,Sub-Saharan Africa,Africa,country,9.5293472,2.2584408,17380,2018,11485035,1.51,0,0.56,0.42,0,0,0,0,0.02,0,0,0,1,0
Burkina Faso,Sub-Saharan Africa,Africa,country,12.0753083,-1.6880314,30850,2018,19751466,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Bangladesh,South Asia,Asia,country,24.4769288,90.2934413,198970,2018,161376713,1.23,0.01,0.18,0.79,0,0,0.01,0,0,0,0,0,1,0
Bulgaria,"Eastern Europe, Balkans, Caucasus",Europe,country,42.6073975,25.4856617,53330,2018,7025037,7.59,0.47,0.01,0.04,0,0.35,0.06,0,0.03,0.03,0.01,0,1,0
Bahrain,Middle East,Asia,country,26.1551249,50.5344606,48950,2018,1569440,31.19,0,0,1,0,0,0,0,0,0,0,0,1,0
