name,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,Agriculture 2016,Land-use change and forestry 2016,Waste 2016,Industry 2016,Manufacturing and construction 2016,Transport 2016,Electricity and heat 2016,Buildings 2016,Fugitive emissions 2016,Other fuel combustion 2016,Aviation and shipping 2016,Agriculture 2016 2017,Land-use change and forestry 2016 2017,Waste 2016 2017,Industry 2016 2017,Manufacturing and construction 2016 2017,Transport 2016 2017,Electricity and heat 2016 2017,Buildings 2016 2017,Fugitive emissions 2016 2017,Other fuel combustion 2016 2017,Aviation and shipping 2016 2017,Agriculture 2016 2017 2018,Land-use change and forestry 2016 2017 2018,Waste 2016 2017 2018,Industry 2016 2017 2018,Manufacturing and construction 2016 2017 2018,Transport 2016 2017 2018,Electricity and heat 2016 2017 2018,Buildings 2016 2017 2018,Fugitive emissions 2016 2017 2018,Other fuel combustion 2016 2017 2018,Aviation and shipping 2016 2017 2018,,
Aruba,Caribbean,North and Central America,country,12.51756625,-69.98186415,617,1987,61838,9.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Afghanistan,South Asia,Asia,country,33.7680065,66.2385139,98920,2018,37171922,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15320000,150000,3370000,760000,2950000,4160000,200000,40000,2190000,66390000,40000,15220000,150000,3450000,910000,3440000,3550000,210000,130000,2210000,68180000,40000,14740000,150000,3530000,1060000,3290000,3730000,220000,140000,2220000,69970000,40000,,
Angola,Sub-Saharan Africa,Africa,country,-11.8775768,17.5691241,79730,2018,30809787,2.59,0,0.29,0,0,0,0.71,0,0,0,0,0,35680000,47610000,1640000,1310000,2490000,7910000,6680000,4330000,30360000,830000,2020000,36350000,50130000,1700000,1350000,1390000,6720000,7240000,3500000,28110000,830000,2020000,32570000,44860000,1750000,1390000,1410000,7010000,7120000,3240000,24420000,830000,2080000,,
Albania,"Eastern Europe, Balkans, Caucasus",Europe,country,41.000028,19.9999619,10080,2018,2866376,3.52,0,0,0,0,0,1,0,0,0,0,0,3210000,-240000,980000,1550000,610000,2290000,120000,390000,0,570000,130000,3130000,-230000,980000,1530000,1070000,2300000,230000,450000,0,600000,140000,2970000,-240000,980000,1510000,1220000,2200000,140000,460000,0,600000,120000,,
Andorra,Western Europe,Europe,country,42.5407167,1.5732033,540,1998,64140,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,50000,60000,0,0,0,0,0,0,0,0,0,50000,70000,0,0,0,0,0,0,0,0,0,50000,70000,0,0,0,0,0,0,0,,
United Arab Emirates,Middle East,Asia,country,24.0002488,53.9994829,263240,2018,9630966,27.33,0,0.01,0.98,0,0,0,0,0,0,0,0,1990000,0,18630000,8220000,83720000,34630000,72700000,1020000,32310000,6420000,78680000,2030000,0,19500000,8340000,84650000,40720000,74220000,1010000,32800000,6550000,76150000,2040000,0,20370000,8450000,80770000,37670000,73300000,800000,33150000,6670000,74870000,,
Argentina,South America (region),South America (continent),country,-34.9964963,-64.9672817,365650,2018,44494502,8.22,0.02,0.08,0.57,0,0.04,0.27,0,0,0,0.01,0,126560000,29900000,21060000,24910000,19410000,45250000,71120000,30610000,12200000,15240000,5120000,130290000,30380000,21370000,26090000,18980000,46430000,68180000,28520000,12020000,15450000,5630000,129940000,29850000,21670000,27260000,20690000,47790000,64080000,28100000,11980000,14140000,5630000,,
Armenia,"Eastern Europe, Balkans, Caucasus",Europe,country,40.7696272,44.6736646,9360,2018,2951741,3.17,0,0,0.37,0,0.34,0.29,0,0,0,0,0,2330000,40000,750000,400000,400000,1580000,1190000,1240000,900000,720000,140000,1870000,40000,740000,380000,450000,1670000,1260000,1320000,900000,680000,170000,1750000,40000,740000,370000,460000,1810000,1500000,1170000,900000,670000,190000,,
American Samoa,Oceania (region),Oceania (continent),country,-14.2930755,-170.6847001,21,1989,45894,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Antigua and Barbuda,Caribbean,North and Central America,country,17.2234721,-61.9554608,970,2008,85394,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,0,190000,410000,0,210000,280000,10000,0,10000,220000,20000,0,190000,440000,0,210000,280000,10000,0,10000,220000,20000,0,190000,460000,0,220000,300000,10000,0,10000,230000,,
